ID;Esti...;Care este varsta ta in ani impliniti?;Locuiesti in mediul...;in ce judet locuiesti?;Cu ce frecventa te uiti la televizor? *Raspuns unic.*;Care este ultima forma de invatamant pe care ai absolvit-o?;Care este starea ta civila?;Ai copii?;Cati copii ai?;Cate persoane locuiesc cu tine permanent (nu doar in vizita)? Daca locuiesti singur(a), scrie 0.;Care este ocupatia ta curenta?;incadreaza venitul tau total net in una dintre categoriile urmatoare:;in ce masura iti place sau nu aceasta reclama?;si in ce masura simti ca ti se adreseaza/ se potriveste pentru tine personal, serviciul promovat?;Voi contracta serviciile Brand 3;Cum consideri pretul de *24.6 Ron (5 euro) / luna* pentru *un abonament lunar al serviciului de streaming al Brand 3?;Cum consideri pretul de *39.4 Ron (8 euro) / luna* pentru un abonament lunar de *daca ar include si continut suplimentar?*;Folosind o scala de la 0 la 10, in ce masura ai recomanda familiei, prietenilor, cunoscutilor *furnizorul de televiziune pe care il folosesti in prezent*?;Intentionezi ca in urmatoarele 6 luni sa schimbi furnizorul actual de servicii de televiziune? *Raspuns unic.*;Pe langa serviciile de televiziune traditionala, in ce masura iei in considerare contractarea serviciilor de televiziune online sau streaming? *Raspuns unic.*;Care *cel mai important motiv* pentru care *nu te uiti* la televizor? (Alege un singurul motiv, cel care primeaza in decizia de a nu te uita la TV.);Care este criteriul pentru care alegeti un serviciu de televiziune?;;;;;;;;;;;;;;Acasa, ce tip de televiziune urmaresti?;;;;
3884;Barbat;54;Rural;BRAILA;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;3;Elev / Student;Nu realizez venituri;imi place mult;Mi se potriveste destul de bine;Probabil da;;;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
3885;Barbat;45;Urban;SUCEAVA;Zilnic;Refuz sa raspund;Necasatorit/a;Da;2 copii;2;Nu lucrez;Sub 750 lei;imi place mult;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3886;Barbat;37;Rural;MARAMURES;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;4;Muncitor calificat;2.001 - 3.000 lei;Asa si-asa;Asa si-asa;Mai degraba nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
3887;Femeie;30;Urban;BUCURESTI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;3 copii;2;Muncitor calificat;1.001 - 1.700 lei;imi place mult;Asa si-asa;Probabil da;;;5;Probabil il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;Multe filme/ seriale;;;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
3888;Barbat;42;Urban;NEAMT;De 4-5 ori pe saptamana;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Detin o afacere;Nu realizez venituri;Asa si-asa;Mi se potriveste foarte bine;Probabil da;;;6;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;;;
3889;Barbat;37;Rural;CALARASI;De 2-3 ori pe saptamana;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;4 copii;7;Muncitor calificat;2.001 - 3.000 lei;Asa si-asa;Asa si-asa;Mai degraba nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3890;Barbat;44;Urban;BUCURESTI;Zilnic;Liceu (12 clase);Necasatorit/a;Da;1 copil;3;Muncitor calificat;2.001 - 3.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Scump;Scump;5;Probabil il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Ma distrage de la alte activitati/ as pierde timpul;;;;;;;;Sa transmita prin fibra optica;;;;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
3891;Barbat;42;Urban;DAMBOVITA;Zilnic;Facultate (3-5 ani);Divortat/a / Separat/a;Da;1 copil;5;Detin o afacere;Nu realizez venituri;imi place mult;Asa si-asa;Mai degraba nu;Scump;Prea scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;Pretul abonamentului / serviciului;;;;;Sa transmita prin fibra optica;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3892;Barbat;49;Urban;ARGES;Zilnic;Refuz sa raspund;Necasatorit/a;Da;2 copii;8;Muncitor calificat;4.001 - 5.000 lei;Nu prea-mi place;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;Vechimea pe piata;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
3893;Femeie;35;Urban;SUCEAVA;De 4-5 ori pe saptamana;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Inginer, economist, doctor, professor;2.001 - 3.000 lei;Asa si-asa;Asa si-asa;Probabil da;;;10;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3894;Femeie;34;Urban;VASLUI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;7;Muncitor calificat;3.001 - 4.000 lei;imi place mult;Asa si-asa;Poate da, poate nu;Acceptabil;Scump;10;Cu siguranta il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;;;;;;;Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3895;Barbat;33;Rural;SIBIU;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;6;Nu lucrez;1.001 - 1.700 lei;Nu-mi place deloc;Asa si-asa;Poate da, poate nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;Multe filme/ seriale;;;;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;Televiziune prin cablu;;;;
3896;Barbat;32;Rural;TULCEA;Zilnic;Treapta 1 de liceu (10 clase);Necasatorit/a;Da;1 copil;2;Nu lucrez;1.701 - 2.000 lei;Asa si-asa;Asa si-asa;Poate da, poate nu;Acceptabil;Prea scump;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;;;Televiziune prin cablu;;;;
3897;Barbat;40;Rural;BRAILA;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;6;Functionar;751 - 1.000 lei;imi place mult;Asa si-asa;Mai degraba nu;Acceptabil;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;;;;Servicii de online streaming (Netflix, HBO GO etc.);
3898;Femeie;39;Rural;CONSTANTA;Zilnic;Gimnaziu (8 clase);Uniune consensuala/ Casatorit/a;Da;3 copii;5;Nu lucrez;1.001 - 1.700 lei;Asa si-asa;Asa si-asa;Mai degraba nu;Scump;Prea scump;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;;;;;;;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;;
3899;Femeie;27;Urban;IASI;Zilnic;Gimnaziu (8 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;0;Detin o afacere;1.701 - 2.000 lei;imi place mult;Asa si-asa;Probabil da;Acceptabil;Acceptabil;9;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;;Televiziune prin satelit;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
3900;Femeie;32;Urban;NEAMT;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Nu;;2;Inginer, economist, doctor, professor;2.001 - 3.000 lei;Asa si-asa;Nu prea mi se potriveste;Cu siguranta nu;;;8;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;Multe filme/ seriale;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
3901;Barbat;51;Rural;ILFOV;De 4-5 ori pe saptamana;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Nu lucrez;2.001 - 3.000 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;;;9;Poate il voi schimba, poate nu;Cu siguranta voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3902;Barbat;43;Rural;SUCEAVA;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Manager / director;Refuz sa raspund;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;;;9;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;;;;;;Televiziune prin cablu;;;;
3903;Barbat;26;Rural;BOTOSANI;De 2-3 ori pe saptamana;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;5;Inginer, economist, doctor, professor;3.001 - 4.000 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;;;10;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;;;;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3904;Barbat;43;Urban;IASI;Zilnic;Treapta 1 de liceu (10 clase);Necasatorit/a;Nu;;4;Refuz;2.001 - 3.000 lei;Asa si-asa;Asa si-asa;Probabil da;Acceptabil;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
3905;Barbat;42;Urban;NEAMT;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;1;Nu lucrez;4.001 - 5.000 lei;Nu prea-mi place;Nu prea mi se potriveste;Poate da, poate nu;;;7;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;;;;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;;
3906;Femeie;30;Urban;SUCEAVA;De 2-3 ori pe saptamana;Treapta 1 de liceu (10 clase);Necasatorit/a;Da;2 copii;1;Muncitor calificat;2.001 - 3.000 lei;imi place foarte mult;Mi se potriveste foarte bine;Cu siguranta da;Acceptabil;Acceptabil;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;;Sa aiba oferte/ promotii;;;;;;Televiziune prin satelit;;Servicii de online streaming (Netflix, HBO GO etc.);
3907;Barbat;35;Urban;NEAMT;Zilnic;Treapta 1 de liceu (10 clase);Uniune consensuala/ Casatorit/a;Nu;;3;Nu lucrez;1.701 - 2.000 lei;Asa si-asa;Mi se potriveste destul de bine;Mai degraba nu;Acceptabil;Scump;9;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3908;Barbat;32;Urban;TULCEA;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;5;Manager / director;1.001 - 1.700 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;Acceptabil;Scump;10;Poate il voi schimba, poate nu;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
3909;Barbat;48;Rural;IASI;Zilnic;Facultate (3-5 ani);Necasatorit/a;Nu;;1;Muncitor calificat;4.001 - 5.000 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Probabil da;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;;;;;;;;;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;;
3910;Femeie;51;Rural;COVASNA;Zilnic;Liceu (12 clase);Refuz sa raspund;Nu;;3;Nu lucrez;1.001 - 1.700 lei;Nu prea-mi place;Nu prea mi se potriveste;Poate da, poate nu;;;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;Multe filme/ seriale;;Sa aiba semnal bun/ de calitate;;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;;;
3911;Barbat;38;Rural;GIURGIU;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;4;Inginer, economist, doctor, professor;2.001 - 3.000 lei;imi place mult;Mi se potriveste destul de bine;Poate da, poate nu;;;8;Probabil il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;;;;;;;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3912;Barbat;43;Rural;DAMBOVITA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;4;Muncitor calificat;2.001 - 3.000 lei;Asa si-asa;Nu mi se potriveste deloc;Cu siguranta nu;;;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
3913;Barbat;52;Urban;PRAHOVA;Zilnic;Studii postuniversitare (master, doctorat);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Inginer, economist, doctor, professor;Nu realizez venituri;imi place mult;Mi se potriveste destul de bine;Probabil da;Acceptabil;Acceptabil;8;Probabil il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;Prefer surse mai moderne de divertisment (internet, social media etc.);Grila de programe variata;;;;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;;;;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;;;;Servicii de online streaming (Netflix, HBO GO etc.);
3914;Femeie;40;Urban;VALCEA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;2;Profesii liberale: architect, notar, avocat, specialist IT, etc.;3.001 - 4.000 lei;Nu-mi place deloc;Nu prea mi se potriveste;Cu siguranta nu;Scump;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Probabil NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;Televiziune prin cablu;;;;
3915;Femeie;32;Rural;IASI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;3;Muncitor calificat;Sub 750 lei;imi place mult;Nu prea mi se potriveste;Poate da, poate nu;Acceptabil;;10;Probabil NU il voi schimba in urmatoarele 6 luni;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3916;Femeie;30;Rural;CLUJ;Zilnic;Liceu (12 clase);Necasatorit/a;Da;2 copii;4;Nu lucrez;Refuz sa raspund;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Scump;6;Probabil NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3917;Femeie;32;Rural;CONSTANTA;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Muncitor calificat;1.701 - 2.000 lei;Asa si-asa;Asa si-asa;Probabil da;;;1;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;;;;;;;;;;;;;Televiziune prin cablu;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);Servicii de online streaming (Netflix, HBO GO etc.);
3918;Barbat;48;Urban;GALATI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Functionar;751 - 1.000 lei;Asa si-asa;Asa si-asa;Probabil da;;;9;Poate il voi schimba, poate nu;Probabil voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;;
3919;Barbat;20;Rural;BACAU;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;4;Muncitor calificat;Nu realizez venituri;imi place foarte mult;Asa si-asa;Mai degraba nu;Acceptabil;Acceptabil;8;Probabil il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Prefer surse mai moderne de divertisment (internet, social media etc.);;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;;Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;Sa pot sa-mi personalizez grila de programe in functie de interesele mele;Sa aiba acoperire ampla (nu doar in Romania);Sa pot alege cand platesc si cand nu (cartela pre-paid);;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3920;Femeie;43;Urban;ILFOV;Zilnic;Liceu (12 clase);Necasatorit/a;Nu;;2;Muncitor calificat;Sub 750 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;;;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;;;;Sa aiba pachet complet (cu internet);;;;;;;;Televiziune prin cablu;;;;
3921;Barbat;28;Urban;BUZAU;De 2-3 ori pe saptamana;Facultate (3-5 ani);Divortat/a / Separat/a;Da;1 copil;2;Inginer, economist, doctor, professor;2.001 - 3.000 lei;Asa si-asa;Nu prea mi se potriveste;Poate da, poate nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);Sa transmita prin fibra optica;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;;Televiziune prin satelit;;;
3922;Barbat;27;Urban;VASLUI;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;4;Muncitor calificat;4.001 - 5.000 lei;imi place mult;Mi se potriveste destul de bine;Probabil da;Acceptabil;Scump;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;As vrea sa ma uit, dar nu am timp;;;Pretul abonamentului / serviciului;;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;Sa pot alege cand platesc si cand nu (cartela pre-paid);;;;;Servicii de online streaming (Netflix, HBO GO etc.);
3923;Barbat;32;Rural;IALOMITA;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;1 copil;3;Muncitor calificat;2.001 - 3.000 lei;Nu prea-mi place;Nu prea mi se potriveste;Cu siguranta nu;;;10;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;Grila de programe variata;;;Sa aiba semnal bun/ de calitate;;;;;;;;;;;Televiziune prin cablu;;;Servicii de online streaming (Netflix, HBO GO etc.);
3924;Barbat;35;Urban;CALARASI;Zilnic;Liceu (12 clase);Uniune consensuala/ Casatorit/a;Da;2 copii;1;Muncitor calificat;5.001 - 6.500 lei;Asa si-asa;Nu prea mi se potriveste;Mai degraba nu;;;9;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta voi contracta servicii de TV online sau streaming;Ma distrage de la alte activitati/ as pierde timpul;Grila de programe variata;;Pretul abonamentului / serviciului;;;Vechimea pe piata;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;Televiziune prin cablu;;;;
3925;Femeie;38;Urban;CLUJ;Zilnic;Gimnaziu (8 clase);Necasatorit/a;Nu;;2;Refuz;1.001 - 1.700 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;;;7;Probabil il voi schimba in urmatoarele 6 luni;Poate voi contracta, poate nu;Nu gasesc valoare in continutul de la TV;Grila de programe variata;Multe filme/ seriale;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);Sa aiba oferte/ promotii;;;;;;Televiziune prin satelit;;;
3926;Barbat;70;Rural;NEAMT;Zilnic;Refuz sa raspund;Refuz sa raspund;Da;1 copil;1;Refuz;2.001 - 3.000 lei;Nu-mi place deloc;Nu mi se potriveste deloc;Cu siguranta nu;Acceptabil;Acceptabil;9;Poate il voi schimba, poate nu;Probabil voi contracta servicii de TV online sau streaming;Nu gasesc valoare in continutul de la TV;;;Pretul abonamentului / serviciului;Sa aiba semnal bun/ de calitate;Rapiditatea rezolvarii problemelor tehnice;;Sa aiba pachet complet (cu internet);;Sa aiba optiuni extra-pachet (Netflix, HBO GO etc.);;;;;;;;Televiziune cu posibilitate de difuzare online (ex: Orange TV GO, Telekom mobile etc.);;
3927;Femeie;35;Rural;BACAU;Zilnic;Facultate (3-5 ani);Uniune consensuala/ Casatorit/a;Da;2 copii;2;Inginer, economist, doctor, professor;1.701 - 2.000 lei;imi place mult;Mi se potriveste destul de bine;Probabil da;;;8;Cu siguranta NU il voi schimba in urmatoarele 6 luni;Cu siguranta NU voi contracta servicii de TV online sau streaming;As vrea sa ma uit, dar nu am timp;;;;;;;;;;;;Sa aiba acoperire ampla (nu doar in Romania);;;;Televiziune prin satelit;;;
